player_name,percent_involvement,dob,arrival_at_team,reference_date
Andrej Kramaric,0.007017544,19/06/1991,16/01/2015,15/05/2016
Andy King,0.310526316,29/10/1988,1/07/2007,15/05/2016
Christian Fuchs,0.792690058,7/04/1986,1/07/2015,15/05/2016
Daniel Amartey,0.030409357,21/12/1994,22/01/2016,15/05/2016
Danny Drinkwater,0.886842105,5/03/1990,20/01/2012,15/05/2016
Danny Simpson,0.763157895,4/01/1987,30/08/2014,15/05/2016
Demarai Gray,0.054678363,28/06/1996,4/01/2016,15/05/2016
Gokhan Inler,0.056725146,27/06/1984,19/08/2015,15/05/2016
Jamie Vardy,0.916081871,11/01/1987,1/07/2012,15/05/2016
Jeffrey Schlupp,0.405555556,23/12/1992,1/07/2010,15/05/2016
Joe Dodoo,0.005847953,29/06/1995,1/08/2013,15/05/2016
Kasper Schmeichel,1,5/11/1986,1/07/2011,15/05/2016
Leonardo Ulloa,0.287719298,26/07/1986,22/07/2014,15/05/2016
Marc Albrighton,0.80380117,18/11/1989,1/07/2014,15/05/2016
Marcin Wasilewski,0.088596491,9/06/1980,17/09/2013,15/05/2016
Nathan Dyer,0.064327485,29/11/1987,1/09/2015,15/05/2016
N'Golo Kante,0.883625731,29/03/1991,3/08/2015,15/05/2016
Ritchie De Laet,0.192105263,28/11/1988,1/07/2012,15/05/2016
Riyad Mahrez,0.887134503,21/02/1991,11/01/2014,15/05/2016
Robert Huth,0.921052632,18/08/1984,1/07/2015,15/05/2016
Shinji Okazaki,0.600584795,16/04/1986,1/07/2015,15/05/2016
Wes Morgan,1,21/01/1984,30/01/2012,15/05/2016
Yohan Benalouane,0.019883041,28/03/1987,3/08/2015,15/05/2016
